St. Bonaventure,.344
St. Francis (NY),.296
St. John's (NY),.309
Stanford,.378
Stephen F. Austin,.369
Stetson,.332
Stony Brook,.345
Syracuse,.342
Temple,.329
Tennessee-Martin,.343
Tennessee State,.356
Tennessee Tech,.336
Tennessee,.306
Texas A&M-Corpus Christi,.362
Texas A&M,.257
Texas-Arlington,.314
Texas Christian,.336
Texas-El Paso,.279
Texas-Rio Grande Valley,.336
Texas-San Antonio,.351
Texas Southern,.278
Texas State,.338
Texas Tech,.356
Texas,.330
Toledo,.363
Towson,.340
Troy,.325
Tulane,.348
Tulsa,.316
UCLA,.317
Utah State,.322
Utah Valley,.299
Utah,.327
Valparaiso,.320
Vanderbilt,.330
Vermont,.323
Villanova,.350
Virginia Commonwealth,.354
VMI,.358
Virginia Tech,.357
Virginia,.286
Wagner,.319
Wake Forest,.336
Washington State,.323
Washington,.331
Weber State,.335
West Virginia,.301
Western Carolina,.368
Western Illinois,.367
Western Kentucky,.337
Western Michigan,.329
Wichita State,.316
William & Mary,.341
Winthrop,.343
Wisconsin,.333
Wofford,.353
Wright State,.367
Wyoming,.299
Xavier,.309
Yale,.381
Youngstown State,.305
